eps=0.25: running sweep
  eps=0.25: sigma=0.00 done (n=6000)
  eps=0.25: sigma=0.10 done (n=12000)
  eps=0.25: sigma=0.20 done (n=18000)
  eps=0.25: sigma=0.30 done (n=24000)
  eps=0.25: sigma=0.40 done (n=30000)
  eps=0.25: sigma=0.50 done (n=36000)
  eps=0.25: sigma=0.60 done (n=42000)
  eps=0.25: sigma=0.70 done (n=48000)
  eps=0.25: sigma=0.80 done (n=54000)
eps=0.50: running sweep
  eps=0.50: sigma=0.00 done (n=6000)
  eps=0.50: sigma=0.10 done (n=12000)
  eps=0.50: sigma=0.20 done (n=18000)
  eps=0.50: sigma=0.30 done (n=24000)
  eps=0.50: sigma=0.40 done (n=30000)
  eps=0.50: sigma=0.50 done (n=36000)
  eps=0.50: sigma=0.60 done (n=42000)
  eps=0.50: sigma=0.70 done (n=48000)
  eps=0.50: sigma=0.80 done (n=54000)
eps=0.75: running sweep
  eps=0.75: sigma=0.00 done (n=6000)
  eps=0.75: sigma=0.10 done (n=12000)
  eps=0.75: sigma=0.20 done (n=18000)
  eps=0.75: sigma=0.30 done (n=24000)
  eps=0.75: sigma=0.40 done (n=30000)
  eps=0.75: sigma=0.50 done (n=36000)
  eps=0.75: sigma=0.60 done (n=42000)
  eps=0.75: sigma=0.70 done (n=48000)
  eps=0.75: sigma=0.80 done (n=54000)
eps=1.00: running sweep
  eps=1.00: sigma=0.00 done (n=6000)
  eps=1.00: sigma=0.10 done (n=12000)
  eps=1.00: sigma=0.20 done (n=18000)
  eps=1.00: sigma=0.30 done (n=24000)
  eps=1.00: sigma=0.40 done (n=30000)
  eps=1.00: sigma=0.50 done (n=36000)
  eps=1.00: sigma=0.60 done (n=42000)
  eps=1.00: sigma=0.70 done (n=48000)
  eps=1.00: sigma=0.80 done (n=54000)
eps=1.25: running sweep
  eps=1.25: sigma=0.00 done (n=6000)
  eps=1.25: sigma=0.10 done (n=12000)
  eps=1.25: sigma=0.20 done (n=18000)
  eps=1.25: sigma=0.30 done (n=24000)
  eps=1.25: sigma=0.40 done (n=30000)
  eps=1.25: sigma=0.50 done (n=36000)
  eps=1.25: sigma=0.60 done (n=42000)
  eps=1.25: sigma=0.70 done (n=48000)
  eps=1.25: sigma=0.80 done (n=54000)
